,No. S.,Course title,Course  code,Credit  hours,Pre-requisite
0,1,Principles of Microeconomics,ECO103,3,-
1,2,Principles of Macroeconomics,ECO104,3,-
2,3,Intermediate Microeconomics,ECO201,3,ECO103
3,4,Intermediate Macroeconomics,ECO202,3,ECO104
4,5,Microeconomic Theory,ECO312,3,ECO201
5,6,Macroeconomic Theory,ECO313,3,ECO202
6,7,Applied Econometrics I,ECO343,4,MTS202
7,8,Applied Econometrics II,ECO344,4,ECO343
8,9,Research Methods in Economics,ECO411,3,ECO343
9,10,Development Economics,ECO301,3,ECO104
10,11,International Trade,ECO466,3,ECO103
